,Result,Category
1117,White Win,7
1118,White Win,13
1119,Black Win,3
1120,Black Win,9
1121,Black Win,7
1122,White Win,11
1123,White Win,11
1124,White Win,8
1125,Draw,9
1126,White Win,11
1127,Draw,4
1128,Black Win,5
1129,White Win,4
1130,White Win,10
1131,White Win,18
1132,White Win,10
1133,White Win,15
1134,Black Win,8
1135,Black Win,9
1136,Draw,11
1137,White Win,9
1138,Black Win,3
1139,White Win,14
1140,Black Win,10
1141,Black Win,8
1142,Black Win,16
1143,Black Win,12
1144,White Win,9
1145,Black Win,0
1146,White Win,10
1147,Black Win,3
1148,Black Win,9
1149,White Win,10
1150,Black Win,10
1151,Black Win,8
1152,White Win,12
1153,White Win,11
1154,White Win,9
1155,White Win,13
1156,White Win,9
1157,Black Win,7
1158,Black Win,1
1159,White Win,11
1160,White Win,11
1161,Black Win,5
1162,Black Win,12
1163,Black Win,11
1164,Black Win,8
1165,Black Win,9
1166,White Win,20
1167,White Win,11
1168,Black Win,13
1169,Black Win,6
1170,Black Win,13
1171,Black Win,7
1172,Black Win,5
1173,White Win,11
1174,Black Win,0
1175,Black Win,11
1176,White Win,0
1177,White Win,9
1178,Black Win,4
1179,Black Win,10
1180,Black Win,12
1181,Black Win,11
1182,White Win,9
1183,White Win,9
1184,Black Win,9
1185,Black Win,7
1186,Black Win,5
1187,White Win,11
1188,Black Win,11
1189,White Win,8
1190,White Win,11
1191,Black Win,9
1192,Draw,9
1193,Black Win,18
1194,Black Win,10
1195,Black Win,6
1196,Black Win,6
1197,White Win,10
1198,White Win,17
1199,Black Win,13
1200,Black Win,13
1201,White Win,11
1202,Black Win,11
1203,White Win,10
1204,White Win,10
1205,Black Win,8
1206,Black Win,7
1207,Black Win,0
1208,Black Win,16
1209,Black Win,10
1210,White Win,6
1211,White Win,11
1212,White Win,18
1213,Black Win,9
1214,White Win,11
1215,Black Win,6
1216,White Win,8
1217,Black Win,9
1218,White Win,8
1219,Draw,9
1220,Black Win,8
1221,White Win,6
1222,White Win,8
1223,Black Win,9
1224,Black Win,7
1225,White Win,20
1226,White Win,13
1227,Black Win,5
1228,Black Win,9
1229,White Win,11
1230,Black Win,8
1231,Black Win,5
1232,Black Win,11
1233,Black Win,9
1234,White Win,10
1235,White Win,8
1236,White Win,10
1237,Black Win,0
1238,Black Win,9
1239,Black Win,4
1240,Black Win,8
1241,White Win,10
1242,White Win,6
1243,White Win,11
1244,White Win,10
1245,Black Win,9
1246,White Win,12
1247,White Win,20
1248,White Win,15
1249,Black Win,10
1250,White Win,8
1251,White Win,9
1252,Draw,10
1253,Black Win,8
1254,Black Win,8
1255,Black Win,1
1256,White Win,11
1257,White Win,17
1258,Black Win,10
1259,White Win,8
1260,Black Win,9
1261,White Win,15
1262,White Win,8
1263,Black Win,10
1264,Draw,11
1265,Black Win,1
1266,White Win,10
1267,Black Win,9
1268,Black Win,10
1269,Black Win,8
1270,White Win,9
1271,Black Win,10
1272,White Win,11
1273,White Win,10
1274,Black Win,8
1275,Black Win,14
1276,White Win,9
1277,White Win,5
1278,White Win,14
1279,White Win,16
1280,White Win,10
1281,White Win,16
1282,Black Win,1
1283,White Win,11
1284,White Win,13
1285,White Win,16
1286,Black Win,11
1287,White Win,12
1288,Black Win,8
1289,White Win,20
1290,Black Win,5
1291,White Win,14
1292,White Win,14
1293,Black Win,12
